('M0P1', 'M0P2') [[30.496181]]
('N53', 'N144') [[18.470236]]
('N77', 'N143') [[18.46986]]
('N17', 'N245') [[18.468727]]
('N177', 'N208') [[18.46861]]
('N54', 'N61') [[18.468424]]
('N105', 'N152') [[18.467243]]
('N152', 'N183') [[18.466713]]
('N54', 'N212') [[18.46625]]
('N177', 'N237') [[18.46582]]
('N1', 'N177') [[18.464558]]
('N144', 'N214') [[18.46388]]
('N12', 'N196') [[18.463161]]
('N173', 'N201') [[18.463116]]
('N201', 'N230') [[18.462753]]
('N123', 'N129') [[18.462711]]
('N56', 'N145') [[18.462334]]
('N173', 'N177') [[18.461828]]
('N106', 'N150') [[18.461266]]
('N196', 'N216') [[18.460905]]
('N42', 'N201') [[18.460814]]
('N41', 'N53') [[18.46024]]
('N173', 'N184') [[18.459496]]
('N39', 'N190') [[18.459438]]
('N115', 'N229') [[18.459124]]
('N14', 'N230') [[18.459078]]
('N173', 'N230') [[18.45852]]
('N54', 'N231') [[18.458279]]
('N105', 'N172') [[18.457336]]
('N56', 'N73') [[18.45677]]
('N95', 'N126') [[18.456621]]
('N69', 'N177') [[18.456446]]
('N61', 'N118') [[18.455832]]
('N39', 'N68') [[18.45559]]
('N32', 'N201') [[18.453695]]
('N32', 'N59') [[18.453463]]
('N88', 'N102') [[18.453388]]
('N184', 'N196') [[18.453365]]
('N58', 'N59') [[18.452435]]
('N142', 'N177') [[18.45174]]
('N31', 'N105') [[18.45153]]
('N72', 'N181') [[18.450912]]
('N17', 'N172') [[18.450872]]
('N29', 'N54') [[18.44979]]
('N139', 'N226') [[18.449606]]
('N39', 'N229') [[18.448158]]
('N19', 'N105') [[18.44793]]
('N172', 'N212') [[18.447304]]
('N102', 'N222') [[18.447224]]
('N105', 'N129') [[18.447216]]
('N120', 'N176') [[18.446465]]
('N61', 'N173') [[18.44558]]
('N41', 'N239') [[18.44539]]
('N120', 'N177') [[18.445389]]
('N52', 'N231') [[18.445265]]
('N3', 'N129') [[18.445257]]
('N69', 'N73') [[18.443884]]
('N32', 'N168') [[18.443466]]
('N58', 'N88') [[18.44327]]
('N120', 'N136') [[18.442232]]
('N21', 'N219') [[18.441082]]
('N153', 'N181') [[18.44098]]
('N114', 'N152') [[18.440914]]
('N41', 'N198') [[18.440859]]
('N1', 'N196') [[18.440472]]
('N34', 'N239') [[18.440212]]
('N105', 'N142') [[18.440031]]
('N34', 'N136') [[18.437096]]
('N14', 'N61') [[18.436764]]
('N72', 'N152') [[18.436136]]
('N73', 'N168') [[18.436022]]
('N88', 'N246') [[18.434975]]
('N58', 'N105') [[18.434464]]
('N9', 'N73') [[18.434015]]
('N120', 'N173') [[18.433706]]
('N55', 'N245') [[18.433674]]
('N136', 'N177') [[18.433485]]
('N176', 'N182') [[18.43149]]
('N53', 'N216') [[18.431168]]
('N123', 'N196') [[18.43024]]
('N12', 'N17') [[18.430199]]
('N80', 'N177') [[18.429745]]
('N42', 'N251') [[18.429665]]
('N106', 'N177') [[18.429647]]
('N65', 'N68') [[18.429592]]
('N58', 'N231') [[18.429392]]
('N92', 'N182') [[18.429186]]
('N145', 'N198') [[18.428802]]
('N14', 'N42') [[18.428532]]
('N114', 'N191') [[18.428526]]
('N117', 'N182') [[18.428373]]
('N50', 'N230') [[18.427404]]
('N49', 'N88') [[18.427288]]
('N66', 'N239') [[18.426697]]
('N58', 'N139') [[18.426615]]
('N88', 'N182') [[18.426441]]
('N150', 'N172') [[18.426254]]
('N88', 'N142') [[18.425283]]
('N231', 'N237') [[18.424908]]
('N158', 'N231') [[18.424683]]
('N136', 'N176') [[18.424528]]
('N123', 'N159') [[18.42447]]
('N21', 'N104') [[18.424309]]
('N151', 'N244') [[18.42293]]
('N39', 'N74') [[18.422523]]
('N65', 'N88') [[18.422276]]
('N58', 'N129') [[18.422241]]
('N105', 'N168') [[18.421974]]
('N16', 'N106') [[18.42184]]
('N5', 'N92') [[18.420437]]
('N23', 'N122') [[18.420086]]
('N88', 'N151') [[18.420048]]
('N70', 'N201') [[18.41967]]
('N39', 'N239') [[18.419172]]
('N68', 'N181') [[18.419151]]
('N88', 'N99') [[18.418873]]
('N55', 'N123') [[18.418694]]
('N69', 'N172') [[18.418238]]
('N52', 'N198') [[18.418047]]
('N143', 'N152') [[18.417934]]
('N68', 'N123') [[18.41753]]
('N67', 'N115') [[18.417099]]
('N41', 'N88') [[18.416454]]
('N68', 'N121') [[18.414297]]
('N100', 'N182') [[18.413311]]
('N74', 'N146') [[18.41325]]
('N23', 'N53') [[18.412863]]
('N123', 'N158') [[18.412588]]
('N23', 'N88') [[18.412542]]
('N103', 'N152') [[18.412306]]
('N190', 'N241') [[18.412098]]
('N88', 'N129') [[18.411432]]
('N152', 'N235') [[18.411259]]
('N68', 'N201') [[18.41121]]
('N159', 'N201') [[18.410767]]
('N129', 'N152') [[18.41007]]
('N115', 'N176') [[18.408648]]
('N21', 'N176') [[18.408367]]
('N13', 'N177') [[18.407106]]
('N53', 'N177') [[18.40604]]
('N151', 'N196') [[18.405586]]
('N152', 'N226') [[18.405506]]
('N32', 'N163') [[18.404613]]
('N144', 'N230') [[18.404305]]
('N173', 'N222') [[18.403555]]
('N165', 'N219') [[18.403522]]
('N137', 'N152') [[18.402908]]
('N66', 'N235') [[18.40257]]
('N70', 'N88') [[18.40182]]
('N86', 'N239') [[18.401049]]
('N3', 'N158') [[18.400354]]
('N74', 'N201') [[18.399424]]
('N53', 'N244') [[18.399364]]
('N65', 'N176') [[18.39847]]
('N159', 'N226') [[18.398245]]
('N173', 'N231') [[18.39813]]
('N14', 'N121') [[18.398111]]
('N200', 'N226') [[18.397558]]
('N3', 'N102') [[18.39744]]
('N53', 'N67') [[18.39735]]
('N17', 'N137') [[18.397177]]
('N8', 'N88') [[18.396591]]
('N61', 'N82') [[18.396395]]
('N118', 'N176') [[18.396374]]
('N190', 'N230') [[18.396194]]
('N26', 'N151') [[18.395445]]
('N61', 'N151') [[18.395437]]
('N68', 'N74') [[18.39525]]
('N37', 'N70') [[18.394863]]
('N32', 'N58') [[18.394659]]
('N68', 'N205') [[18.394608]]
('N55', 'N105') [[18.394457]]
('N51', 'N73') [[18.393852]]
('N3', 'N219') [[18.393631]]
('N129', 'N142') [[18.39354]]
('N74', 'N123') [[18.393454]]
('N74', 'N88') [[18.392738]]
('N106', 'N151') [[18.392624]]
('N39', 'N196') [[18.391987]]
('N176', 'N226') [[18.39192]]
('N76', 'N152') [[18.39076]]
('N58', 'N74') [[18.390217]]
('N143', 'N200') [[18.389086]]
('N21', 'N72') [[18.388868]]
('N198', 'N222') [[18.388601]]
('N61', 'N190') [[18.387978]]
('N56', 'N168') [[18.387703]]
('N22', 'N53') [[18.38769]]
('N230', 'N244') [[18.38757]]
('N53', 'N114') [[18.387432]]
('N68', 'N118') [[18.386799]]
